soil,temp,humidity,light,water_level,time_day,pump_time
1937,12.8,83.6,320,79.3,00:00,0.0
2377,13.9,79.6,336,54.5,03:00,0.0
2828,18.2,60.3,1682,93.3,06:00,0.0
959,23.0,36.7,4262,50.5,09:00,10.5
971,22.6,38.7,4497,59.5,12:00,10.9
1115,25.6,43.1,4114,50.4,15:00,11.9
2761,19.7,56.5,572,89.5,18:00,0.0
1931,11.6,79.1,327,80.1,21:00,0.0
1835,12.7,85.2,321,56.2,00:00,0.0
1910,13.0,76.8,320,47.6,03:00,0.0
2959,16.7,61.6,2378,68.9,06:00,0.0
2929,24.1,47.7,4095,47.6,09:00,0.0
805,24.9,51.2,4302,53.6,12:00,10.3
948,24.4,50.0,3956,64.5,15:00,10.6
2239,16.8,59.5,659,90.2,18:00,0.0
2102,11.3,84.1,325,45.7,21:00,0.0
2368,13.9,80.8,322,78.8,00:00,0.0
1992,13.4,80.1,320,93.4,03:00,0.0
2955,17.2,57.2,1629,62.6,06:00,0.0
819,25.3,53.3,4321,78.3,09:00,10.9
918,25.4,42.9,4020,76.8,12:00,7.9
798,23.1,48.1,4134,48.2,15:00,7.9
2260,16.1,63.2,893,89.6,18:00,0.0
2369,11.4,84.4,320,89.1,21:00,0.0
2264,13.4,79.0,336,63.0,00:00,0.0
1836,14.0,78.7,331,89.3,03:00,0.0
2994,17.1,63.7,2411,48.1,06:00,0.0
931,26.2,45.3,4467,45.8,09:00,10.2
1005,24.3,39.4,4341,80.2,12:00,7.4
904,23.4,51.3,4423,70.4,15:00,12.3
2381,16.7,58.4,501,91.5,18:00,0.0
2164,13.6,88.8,324,60.7,21:00,0.0
1904,12.3,84.6,332,81.5,00:00,0.0
1961,11.0,84.8,320,76.6,03:00,0.0
2497,16.1,67.6,2026,66.3,06:00,0.0
734,23.2,43.9,4490,58.7,09:00,8.7
1131,25.2,44.0,4311,44.4,12:00,9.9
885,25.6,54.1,3963,56.1,15:00,10.0
2974,17.2,63.9,629,89.0,18:00,0.0
2283,11.4,85.4,336,69.6,21:00,0.0
2004,13.8,77.7,320,56.6,00:00,0.0
1825,13.7,89.2,320,74.6,03:00,0.0
2449,17.3,62.6,1524,87.9,06:00,0.0
843,23.8,46.5,4315,76.5,09:00,11.1
2814,25.7,46.4,4049,61.6,12:00,0.0
731,23.8,51.0,4437,65.0,15:00,11.6
2401,16.3,57.0,1009,72.4,18:00,0.0
2073,11.0,76.1,320,73.8,21:00,0.0
2355,11.7,88.9,320,83.0,00:00,0.0
2067,14.5,86.8,320,82.2,03:00,0.0
2518,17.3,60.7,2193,51.0,06:00,0.0
843,24.6,38.7,4181,54.9,09:00,10.1
995,25.1,51.4,4088,45.7,12:00,8.6
1018,26.5,42.5,3960,58.6,15:00,10.9
2298,19.6,63.0,637,93.7,18:00,0.0
2182,11.8,78.4,327,80.7,21:00,0.0
2509,13.5,82.5,320,55.5,00:00,0.0
2263,12.5,88.7,338,88.2,03:00,0.0
2296,18.7,62.2,1943,67.1,06:00,0.0
1035,24.0,44.4,4082,34.6,09:00,5.8
2837,25.8,41.2,4414,94.6,12:00,0.0
864,26.3,54.4,3926,63.4,15:00,8.9
2615,16.3,67.8,689,71.8,18:00,0.0
1880,14.0,75.5,336,88.2,21:00,0.0
