day_number,soil,temp,humidity,light,water_level,pump_time,gdd_daily,cumulative_gdd,cumulative_water,temp_stress_daily,cumulative_temp_stress,humidity_stress_day,cumulative_humidity_stress,cumulative_light,growth_stage,yield_pods,yield_grams
1,2278,12.5,89.0,331,95.0,0.0,0.31,0.31,0.0,0.0,0.0,0.5,0.5,993,Vegetative,0,0.0
1,2281,11.6,71.2,341,95.0,0.0,0.2,0.51,0.0,0.05,0.05,0.0,0.5,2016,Vegetative,0,0.0
1,2212,16.1,69.4,2249,95.0,0.0,0.76,1.28,0.0,0.0,0.05,0.0,0.5,8763,Vegetative,0,0.0
1,3250,22.8,41.1,4025,95.0,11.5,1.6,2.88,11.5,0.0,0.05,0.0,0.5,20838,Vegetative,0,0.0
1,1150,23.6,44.1,4285,83.5,0.0,1.7,4.58,11.5,0.0,0.05,0.0,0.5,33693,Vegetative,0,0.0
1,1420,24.7,35.9,4108,83.5,0.0,1.84,6.41,11.5,0.0,0.05,0.51,1.01,46017,Vegetative,0,0.0
1,1680,20.7,69.3,1308,83.5,0.0,1.34,7.75,11.5,0.0,0.05,0.0,1.01,49941,Vegetative,0,0.0
1,1850,13.7,78.8,320,83.5,0.0,0.46,8.21,11.5,0.0,0.05,0.0,1.01,50901,Vegetative,0,0.0
2,2010,14.6,75.2,326,83.5,0.0,0.58,8.79,11.5,0.0,0.05,0.0,1.01,51879,Vegetative,0,0.0
2,2240,13.2,73.7,348,83.5,0.0,0.4,9.19,11.5,0.0,0.05,0.0,1.01,52923,Vegetative,0,0.0
2,2480,20.5,62.0,2383,83.5,0.0,1.31,10.5,11.5,0.0,0.05,0.0,1.01,60072,Vegetative,0,0.0
2,2710,22.2,41.5,3889,83.5,0.0,1.53,12.02,11.5,0.0,0.05,0.0,1.01,71739,Vegetative,0,0.0
2,2990,23.6,40.6,4043,83.5,0.0,1.7,13.73,11.5,0.0,0.05,0.0,1.01,83868,Vegetative,0,0.0
2,3310,22.3,54.7,4272,83.5,12.8,1.54,15.26,24.3,0.0,0.05,0.0,1.01,96684,Vegetative,0,0.0
2,1210,20.1,64.1,1229,70.7,0.0,1.26,16.53,24.3,0.0,0.05,0.0,1.01,100371,Vegetative,0,0.0
2,1430,12.4,72.3,340,70.7,0.0,0.3,16.83,24.3,0.0,0.05,0.0,1.01,101391,Vegetative,0,0.0
3,1640,12.7,85.4,307,70.7,0.0,0.34,17.17,24.3,0.0,0.05,0.0,1.01,102312,Vegetative,0,0.0
3,1810,12.5,73.1,326,70.7,0.0,0.31,17.48,24.3,0.0,0.05,0.0,1.01,103290,Vegetative,0,0.0
3,2050,17.4,69.3,2058,70.7,0.0,0.93,18.4,24.3,0.0,0.05,0.0,1.01,109464,Vegetative,0,0.0
3,2310,24.3,37.3,3723,70.7,0.0,1.79,20.19,24.3,0.0,0.05,0.34,1.35,120633,Vegetative,0,0.0
3,2590,26.4,35.6,3502,70.7,0.0,2.05,22.24,24.3,0.18,0.22,0.55,1.9,131139,Vegetative,0,0.0
3,2840,24.4,46.1,4389,70.7,0.0,1.8,24.04,24.3,0.0,0.22,0.0,1.9,144306,Vegetative,0,0.0
3,3120,18.6,56.7,856,70.7,9.5,1.08,25.12,33.8,0.0,0.22,0.0,1.9,146874,Vegetative,0,0.0
3,1190,14.6,83.9,321,61.2,0.0,0.58,25.69,33.8,0.0,0.22,0.0,1.9,147837,Vegetative,0,0.0
4,1380,13.7,88.8,320,61.2,0.0,0.46,26.15,33.8,0.0,0.22,0.47,2.37,148797,Vegetative,0,0.0
4,1590,13.6,70.6,338,61.2,0.0,0.45,26.6,33.8,0.0,0.22,0.0,2.37,149811,Vegetative,0,0.0
4,1810,16.6,56.1,1816,61.2,0.0,0.83,27.42,33.8,0.0,0.22,0.0,2.37,155259,Vegetative,0,0.0
4,2080,23.4,41.0,4209,61.2,0.0,1.68,29.1,33.8,0.0,0.22,0.0,2.37,167886,Vegetative,0,0.0
4,2340,24.4,48.0,4014,61.2,0.0,1.8,30.9,33.8,0.0,0.22,0.0,2.37,179928,Vegetative,0,0.0
4,2650,25.8,40.3,4419,61.2,0.0,1.98,32.88,33.8,0.1,0.32,0.0,2.37,193185,Vegetative,0,0.0
4,2950,18.2,63.1,1152,61.2,0.0,1.03,33.91,33.8,0.0,0.32,0.0,2.37,196641,Vegetative,0,0.0
4,3210,13.8,78.2,322,61.2,10.2,0.48,34.39,44.0,0.0,0.32,0.0,2.37,197607,Vegetative,0,0.0
5,1220,11.0,83.9,324,51.0,0.0,0.39,34.78,44.0,0.12,0.44,0.0,2.37,198579,Vegetative,0,0.0
5,1450,11.0,72.6,320,51.0,0.0,0.38,35.15,44.0,0.13,0.57,0.0,2.37,199539,Vegetative,0,0.0
